"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","test_delete_user","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","20","test_export_entries_is_unpaginated","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","5","test_delete_policy_reverts_to_default","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_cannot_approve_already_approved_request","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_wrong_password_denied","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"A classic LDAP injection payload in the username must not be able to
    widen the search filter to match an unintended entry.","1","test_username_is_escaped_in_search_filter","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","2","test_default_policy_rejects_ttl_above_global_max","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","0","test_actor_from_header_none_without_header","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","6","test_export_requests_is_unpaginated_and_ordered","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_disable_marks_enabled_false","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","21","test_disable_vault_clears_singleton","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","2","test_export_entries_orders_oldest_first","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","1","test_delete_nonexistent_user_raises_404","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"Both certificate and ServiceAccount users share one table — callers
    (CertificateService/ServiceAccountService) filter by type themselves.","3","test_type_isolation_between_cert_and_sa_users","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","0","test_as_utc_leaves_aware_datetime_unchanged","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"","4","test_clear_history","tests","2026-08-27","passed","2026-08-27","","test_token_service","",""
"","37","test_apply_config_keeps_cached_health_when_unchanged","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"A local account's own username must never be re-checked against LDAP,
    even if LDAP would happily authenticate someone by that name — local
    always wins for its own username.","539","test_local_account_never_falls_back_to_ldap","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","4","test_export_entries_filters_by_date_range","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","1","test_ensure_default_admin_noop_without_env","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","1","test_actor_from_header_none_on_garbage_token","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","3","test_add_cluster_rejects_duplicate_name","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","3","test_export_requests_filters_by_date_range","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_access_token_roundtrip","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","0","test_decode_token_rejects_garbage","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","0","test_rows_to_csv_writes_header_and_rows","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"","4","test_record_and_list_history","tests","2026-08-27","passed","2026-08-27","","test_token_service","",""
"","4","test_update_existing_entry","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","540","test_create_and_authenticate_local_user","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","2","test_get_nonexistent_request_raises_not_found","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","0","test_add_cluster_rejects_reserved_local_name","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"Guards against LDAP's classic unauthenticated-bind footgun: some
    directories treat an empty-password bind as a trivially successful
    'anonymous' bind rather than a credential check.","1","test_empty_password_rejected_without_attempting_a_bind","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","0","test_as_utc_none_stays_none","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"","3","test_delete_history_entry","tests","2026-08-27","passed","2026-08-27","","test_token_service","",""
"","271","test_create_user_duplicate_raises_409","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","3","test_list_entries_filters_by_path_substring","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","0","test_redact_leaves_non_sensitive_values_untouched","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","0","test_register_token_scoped_to_cluster_name","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","4","test_set_policy_upserts","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","0","test_rows_to_csv_ignores_extra_keys_not_in_columns","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"","3","test_list_entries_includes_denied_attempts","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","3","test_optional_fields_round_trip","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"A ClusterRole policy must not affect a Role of the same name.","3","test_policy_is_scoped_by_role_kind","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","3","test_list_entries_empty_by_default","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","3","test_list_entries_preserves_redacted_payload","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","1","test_role_kind_role_requires_namespace","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","5","test_approve_namespaced_role_creates_role_binding","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"A JIT grant must never collide with the `clustervision-{user}-{role}`
    name used by permanent assignments — the cleanup job deleting an expired
    JIT binding must not be able to touch a permanent one.","5","test_approved_binding_name_is_never_the_shared_permanent_name","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_remove_nonexistent_cluster_raises","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","1","test_unknown_user_denied","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","4","test_eligible_role_with_lower_ttl_cap_rejects_longer_requests","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","5","test_delete_entry","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","0","test_actor_from_header_none_without_bearer_prefix","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","2","test_default_policy_allows_any_role_within_global_max","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","0","test_actor_from_header_decodes_valid_bearer_token","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
