"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","LDAP","9","0","","0"
"0","","0","Authentication","16","0","","0"
"0","","0","Clusters","7","0","","0"
"0","","0","Auth — JWT & passwords","8","0","","0"
"0","","0","Audit Log","20","0","","0"
"0","","0","Registry","8","0","","0"
"0","","0","Access Requests","24","0","","0"
"0","","0","Database Migrations","1","0","","0"
"0","","0","Vault Integration","7","0","","0"
"0","","0","Compliance Exports","6","0","","0"
"0","","0","Tokens","4","0","","0"
